filename,year_month,title,avg_sentiment
2023-10-20_2973.txt,2023-10,EU-US summit to stress unity amid Israel-Hamas and Russia-Ukraine wars,0.81
2024-01-08_1470.txt,2024-01,Hezbollah says Israel kills top commander amid fears of Gaza war escalation,0.76
2023-10-13_3168.txt,2023-10,"Israel using white phosphorus in Gaza, Lebanon, endangering civilians: HRW",0.68
2024-01-04_1510.txt,2024-01,Photos: Palestinians flee Nuseirat refugee camp once again amid attacks,0.35
2024-01-15_1391.txt,2024-01,Turkey frees Israeli footballer detained over Gaza war reference in match,0.72
2024-01-16_1375.txt,2024-01,Israel’s new $15bn war budget: What’s it for and what gets cut?,0.82
2023-10-09_3270.txt,2023-10,Israel-Hamas war updates: Israeli bombing rocks Gaza through the night,1.0
2023-10-14_3120.txt,2023-10,Israeli army and settler attacks against Palestinians in West Bank increase,0.71
2024-01-08_1469.txt,2024-01,Israel says it is scaling down north Gaza operations. What does that mean?,0.75
2023-10-25_2871.txt,2023-10,US resists ceasefire call in UN Security Council debate on Israel-Gaza war,0.6
2024-01-06_1486.txt,2024-01,Safe zones: Israel’s technologies of genocide,0.58
2024-01-25_1279.txt,2024-01,Is Israel’s war on Gaza a watershed moment in history?,0.8
2023-10-06_3313.txt,2023-10,How the October War changed the world,0.81
2023-10-09_3263.txt,2023-10,Rafah crossing between Gaza and Egypt disrupted by Israeli air raids,0.47
2023-10-16_3078.txt,2023-10,Funeral in US for Palestinian-American boy killed in suspected hate crime,0.67
2023-10-10_3246.txt,2023-10,"The bombs raining down on Gaza from Israel are beyond scary, beyond crazy",0.65
2024-01-25_1278.txt,2024-01,Why is Canada asking Palestinians to list scars on Gaza visa applications?,0.73
2023-10-11_3229.txt,2023-10,Gaza’s Rimal neighbourhood wiped out by Israeli air strikes,0.63
2023-10-25_2872.txt,2023-10,Gaza’s kidney patients face dialysis crisis at jam-packed hospitals,0.72
2023-10-18_3034.txt,2023-10,"Nice’s Atal, Mainz’s El Ghazi suspended for Israel-Palestine conflict posts",0.82
2023-10-09_3282.txt,2023-10,‘Dozens’ of civilians being held hostage by Hamas: Israeli military,0.77
2023-10-23_2907.txt,2023-10,US ‘urges delay’ in ground invasion as Israel continues to pound Gaza,0.48
2023-10-24_2880.txt,2023-10,The Take: A new era of solidarity for the Palestinian cause,1.1
2023-10-15_3115.txt,2023-10,Tens of thousands rally around the world in solidarity with Palestine,0.67
2024-01-02_1531.txt,2024-01,What’s really at stake in the US moves to target TikTok?,0.71
2023-10-26_2836.txt,2023-10,Celtic fans defy club to fly Palestine flags in Champions League match,0.71
2024-01-31_1219.txt,2024-01,The Take – ‘Lost trust’: Gaza residents await ceasefire deal,0.92
2024-01-04_1504.txt,2024-01,US to send top diplomats to Middle East as regional tensions spread,0.74
2023-10-20_2969.txt,2023-10,Investigations reveal discrepancies in Israel’s Gaza hospital attack claims,0.49
2024-01-07_1477.txt,2024-01,Israel signals bombardment of northern Gaza set to end,0.56
2023-10-31_2693.txt,2023-10,Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,0.73
2023-10-30_2732.txt,2023-10,Heavy clashes as Israeli tanks briefly reach Gaza City outskirts,0.48
2024-01-28_1247.txt,2024-01,Could Red Sea attacks push up prices and fuel inflation?,0.43
2023-10-10_3233.txt,2023-10,Israel-Hamas war updates: Hamas claims release of woman and children,1.0
2024-01-27_1251.txt,2024-01,"Cold, rainy weather making war-wracked Gaza ‘completely uninhabitable’",0.4
2023-10-08_3290.txt,2023-10,Tel Aviv’s residents start venturing out,0.67
2023-10-04_3316.txt,2023-10,Fears for Khaled El Qaisi’s wellbeing after his release in Israel,0.62
2023-10-30_2731.txt,2023-10,"‘Our turn to die’: A Gaza blackout, the roar of Israeli jets and screams",0.74
2023-10-27_2795.txt,2023-10,"My student Yehia Dahdouh survived an Israeli bombing, but his pain is huge",0.84
2023-10-30_2714.txt,2023-10,Hamas releases video of three Gaza hostages addressing Netanyahu,0.81
2023-10-12_3181.txt,2023-10,The chaos at X since Elon Musk’s takeover has gotten worse,0.62
2023-10-29_2744.txt,2023-10,"Impeding aid to Gaza could be crime under ICC jurisdiction, says prosecutor",0.71
2023-10-12_3189.txt,2023-10,Middle East Roundup: Israel lays waste to Gaza after Hamas attack,0.72
2023-10-30_2740.txt,2023-10,The Take: Israel’s ground war on Gaza begins,0.88
2023-10-18_3035.txt,2023-10,What has been US President Biden’s stance on Israel-Gaza war so far?,0.6
2024-01-23_1300.txt,2024-01,Israeli military ‘encircles’ Khan Younis after 24 soldiers killed in Gaza,0.67
2024-01-20_1335.txt,2024-01,Palestinians accuse Israeli forces of executing 19 civilians in Gaza,0.7
2024-01-27_1254.txt,2024-01,"‘Israel’s supporters have been put on notice’, say experts on ICJ verdict",0.71
2024-01-11_1439.txt,2024-01,Protests as UN top court hears genocide case against Israel over Gaza war,0.5
2024-01-20_1333.txt,2024-01,Residential building destroyed in attack that killed IRGC members in Syria,0.44
2023-10-11_3217.txt,2023-10,History Illustrated: The story of Hamas and its fight for Palestine,1.0
2023-10-13_3172.txt,2023-10,‘I want to see his body’: Nepali dreams turn into Israeli nightmare,0.78
2023-10-22_2931.txt,2023-10,"Israeli air raids kill at least 55 in Gaza overnight, Hamas says",0.58
2023-10-15_3119.txt,2023-10,In Jerusalem’s Old City Israel soldiers ‘do what they want’ to Palestinians,0.62
2023-10-28_2768.txt,2023-10,"Palestinians in West Bank face closures, attacks amid Israeli offensive",0.74
2023-10-23_2912.txt,2023-10,It’s a time for choosing,0.8
2023-10-28_2773.txt,2023-10,"Israel ‘expanding’ troops in Gaza, Hamas to counter with ‘full force’",0.69
2023-10-11_3232.txt,2023-10,‘Fantasy land’: How Biden’s normalisation drive ignored Palestinians,0.84
2023-10-07_3307.txt,2023-10,Why the Palestinian group Hamas launched an attack on Israel? All to know,1.0
2024-01-10_1452.txt,2024-01,Terrified people flee Israeli attacks at Al-Aqsa Martyrs Hospital,0.5
2024-01-31_1222.txt,2024-01,How escalating Red Sea crisis poses billions of dollars of risk for India,0.64
2023-10-23_2904.txt,2023-10,The Take: Censorship and disinformation – the online war on Gaza,0.93
2024-01-24_1290.txt,2024-01,ICJ to decide on emergency measures in Israel-Gaza genocide case on Friday,0.68
2024-01-06_1483.txt,2024-01,Pro-Palestine protesters block bridge outside UK parliament,0.29
2023-10-24_2886.txt,2023-10,Gaza hospital generators to run out of fuel in 48 hours: Health Ministry,0.27
2023-10-08_3293.txt,2023-10,What is Hamas? A simple guide to the armed Palestinian group,0.85
2023-10-17_3057.txt,2023-10,Iran’s Khamenei demands Israel stop bombardment of Gaza,0.7
2024-01-09_1462.txt,2024-01,How does the war on Gaza affect mental health of Palestinian children?,0.57
2024-01-29_1230.txt,2024-01,"Israeli intelligence accuses UNRWA staff of kidnap, seizing body",0.67
2024-01-15_1394.txt,2024-01,"Israel’s war on Gaza: List of key events, day 101",1.0
2024-01-11_1434.txt,2024-01,Any US attack on Yemen’s Houthis will ‘not go without response’,0.68
2024-01-21_1323.txt,2024-01,"Gaza death toll surpasses 25,000 as Israel escalates assault",0.67
2023-10-19_3011.txt,2023-10,Jewish activists arrested at US Congress anti-Israel protest amid Gaza war,0.7
2023-10-17_3075.txt,2023-10,‘Every second in danger’: Gaza journalists race against deadlines and death,0.67
2023-10-25_2855.txt,2023-10,What we know about UN draft resolutions on the Israel-Hamas war so far,0.77
2023-10-28_2770.txt,2023-10,"Communication blackout, fuel shortages worsen the situation in Gaza",0.5
2023-10-12_3201.txt,2023-10,White House walks back Biden’s claim he saw children beheaded by Hamas,0.31
2023-10-24_2881.txt,2023-10,"‘Son of Maryam’, a birth seen as a victory against Israel’s raids on Gaza",0.58
2023-10-31_2689.txt,2023-10,Photos: Dozens killed in Israeli air attack on Jabalia refugee camp in Gaza,0.33
2023-10-26_2843.txt,2023-10,Two more resolutions to halt Israel-Gaza war fail at UN Security Council,0.67
2023-10-25_2864.txt,2023-10,"Israeli air raids flatten homes, kill dozens at a time in southern Gaza",0.57
2024-01-17_1363.txt,2024-01,Israel ramps up attacks on Khan Younis as aid for Gaza arrives in Egypt,0.5
2023-10-20_2967.txt,2023-10,The Take: The backlash to supporting Palestine,0.92
2023-10-11_3210.txt,2023-10,"Hamas video appears to show release of woman, two children",0.63
2023-10-24_2889.txt,2023-10,Are social media giants censoring pro-Palestine voices amid Israel’s war?,0.8
2024-01-16_1380.txt,2024-01,"Altruism, opportunism or both: What pushed South Africa to ICJ over Gaza?",0.8
2023-10-10_3241.txt,2023-10,‘Why bomb schools?’ Gaza families have no safe space amid Israeli attacks,0.79
2024-01-03_1519.txt,2024-01,Photos: Ruin and desperation in Gaza as Israeli onslaught continues to rage,0.45
2023-10-16_3084.txt,2023-10,Guardian cartoonist’s contract not renewed after Netanyahu drawing,0.5
2023-10-11_3216.txt,2023-10,Why is Gaza out of fuel — and what now?,0.68
2024-01-03_1513.txt,2024-01,"‘Israeli warning’: Beirut bombing sparks anger, fear in Lebanon",0.67
2023-10-14_3134.txt,2023-10,"Israel-Hamas war: List of key events, day 8",1.0
2023-10-25_2854.txt,2023-10,‘I want him back’: Families of Israeli hostages demand government save them,0.67
2024-01-27_1249.txt,2024-01,‘War criminal’: Arab Americans rebuff Biden campaign outreach over Gaza,0.81
2023-10-25_2865.txt,2023-10,Israel to refuse visas to UN officials after Guterres speech on Gaza war,0.74
2023-10-22_2923.txt,2023-10,South of Gaza Strip pounded by air strikes as civilians seek refuge,0.33
2024-01-24_1295.txt,2024-01,"Israel’s war on Gaza: List of key events, day 110",1.0
2023-10-25_2869.txt,2023-10,At least five killed in Israeli raids in occupied West Bank: Ministry,0.64
2023-10-16_3082.txt,2023-10,UN begins shipping aid for Gaza to Egypt amid uncertainty,0.72
2023-10-30_2721.txt,2023-10,Israel is forcibly disappearing Gaza,0.55
2023-10-10_3245.txt,2023-10,Which airlines paused or cancelled flights to Israel after Hamas attacks?,0.67
2023-10-27_2815.txt,2023-10,Palestinian PM: Will Israel’s war on Gaza bring Hamas and Fatah together?,0.83
2024-01-09_1460.txt,2024-01,Israel’s war on Gaza and the ‘obligation to prevent genocide’,0.89
2024-01-26_1265.txt,2024-01,UNRWA probes employees over suspected involvement in October 7 attack,0.39
2023-10-24_2893.txt,2023-10,Israel vows ‘unrelenting’ attacks as dozens reported killed in Gaza strikes,0.61
2023-10-24_2877.txt,2023-10,"More than 700 killed in overnight Israeli attacks, Gaza officials say",0.45
2023-10-25_2859.txt,2023-10,Gaza needed billions in aid before Israel-Hamas war: UN,0.38
2023-10-12_3205.txt,2023-10,"Israel-Hamas war: List of key events, day 6",1.0
2024-01-10_1454.txt,2024-01,Israeli army appears to change tack on strike that killed Gaza journalists,0.43
2023-10-08_3287.txt,2023-10,"US to hike military aid, send military ships and aircraft closer to Israel",0.85
2024-01-15_1396.txt,2024-01,Israel’s war on Gaza updates: Israeli attacks kill 25 overnight in Gaza,0.65
2023-10-25_2847.txt,2023-10,Al Jazeera condemns Israeli killing of journalist Wael Al-Dahdouh’s family,0.83
2024-01-02_1528.txt,2024-01,"Israel maintains onslaught as Gaza death toll tops 22,000",0.61
2023-10-30_2736.txt,2023-10,"Australian ex-PMs condemn Hamas, urge Israel to avoid civilian deaths",0.5
2023-10-25_2857.txt,2023-10,The Take: Why is Israel delaying a ground invasion of Gaza?,0.8
2023-10-29_2759.txt,2023-10,"Taiwan takes security lessons from Hamas, Ukraine surprise attacks",0.95
2023-10-06_3312.txt,2023-10,The October 1973 War: How it led to the first Arab recognition of Israel,0.76
2024-01-18_1353.txt,2024-01,Israel’s Netanyahu reiterates rejection of Palestinian state after Gaza war,0.83
2024-01-21_1329.txt,2024-01,"Israel’s war on Gaza: List of key events, day 107",1.0
2023-10-11_3224.txt,2023-10,‘Nothing to do with this’: Thai families plead for Hamas captives’ release,0.57
2023-10-27_2807.txt,2023-10,Will unconditional US support for Israel harm its ties with the Arab world?,0.67
2024-01-14_1407.txt,2024-01,A ‘cultural genocide’: Which of Gaza’s heritage sites have been destroyed?,0.77
2024-01-26_1264.txt,2024-01,Hundreds take to streets in The Hague in solidarity with Palestinians,0.86
2023-10-22_2917.txt,2023-10,Israeli air attacks kill 30 in Gaza’s Jabalia refugee camp: Civil defence,0.47
2023-10-11_3218.txt,2023-10,What is the Palestinian Authority and what is its relationship with Israel?,0.75
2024-01-19_1344.txt,2024-01,Non-Aligned Movement criticises Israel’s war on Gaza at Kampala summit,0.81
2023-10-21_2940.txt,2023-10,"London’s ‘March For Palestine’ draws 100,000 demanding Gaza ceasefire",1.0
2024-01-01_1539.txt,2024-01,Analysis: Is the Israeli army as militarily successful as it claims?,0.63
2023-10-11_3226.txt,2023-10,Analysis: Why did Hamas attack now and what is next?,0.73
2024-01-12_1419.txt,2024-01,ICJ genocide case: What are Israel’s arguments and do they hold up?,0.52
2024-01-15_1385.txt,2024-01,Hamas claims two Israeli captives killed in Gaza air strikes,0.71
2024-01-09_1461.txt,2024-01,Blinken says civilian death toll in Gaza ‘far too high’,0.78
2024-01-08_1472.txt,2024-01,"Israel’s war on Gaza: List of key events, day 94",0.8
2024-01-16_1374.txt,2024-01,Yemen’s Houthis claim attack on ship in Red Sea as US confirms new strike,0.86
2024-01-30_1225.txt,2024-01,Witness of war: Through Motaz’s lens,0.8
2024-01-24_1292.txt,2024-01,Several killed in Israeli attack on UN shelter housing 800 in southern Gaza,0.7
2023-10-26_2823.txt,2023-10,"EU leaders call for ‘humanitarian pauses’, aid corridors in Israel-Gaza war",0.46
2023-10-18_3027.txt,2023-10,Second day of protests across the Middle East after Gaza hospital strike,0.62
2023-10-27_2797.txt,2023-10,The Take: Wael Dahdouh’s family was killed in Gaza. He kept reporting.,1.0
2023-10-12_3197.txt,2023-10,"Israel detains, expels to West Bank hundreds of Gaza Palestinian workers",0.62
2023-10-11_3214.txt,2023-10,"Today in Gaza, I no longer believe we’ll get out of Israel’s assault alive",0.57
2023-10-22_2933.txt,2023-10,Israel-Gaza: Genocidal rhetoric and the fog of war,1.2
2023-10-19_3007.txt,2023-10,Khan Younis homes in southern Gaza levelled by deadly Israeli bombardment,0.0
2023-10-19_2987.txt,2023-10,What role can the United Nations play in the Gaza War?,0.4
2023-10-12_3182.txt,2023-10,The impossibility of a stolen moment as Israeli bombs rain on Gaza,0.7
2023-10-31_2697.txt,2023-10,"In Rafah, Israeli bombing shatters buildings, shatters lives",0.5
2024-01-16_1373.txt,2024-01,Qatar announces Israel-Hamas deal for medicine and aid to enter Gaza,0.93
2023-10-09_3281.txt,2023-10,"‘Necessary’ to stand with both Israelis, Palestinians, UN rapporteur says",0.77
2023-10-11_3231.txt,2023-10,Putin concerned over ‘catastrophic’ civilian deaths in Israel-Gaza war,0.56
2023-10-16_3102.txt,2023-10,China prepares for Belt and Road summit in shadow of Israel-Gaza war,0.83
2023-10-13_3167.txt,2023-10,Israel attacks on Gaza refugee camp kills dozens of Palestinians,0.47
2023-10-29_2750.txt,2023-10,Can Elon Musk’s Starlink provide internet service to Gaza?,0.77
2023-10-07_3304.txt,2023-10,Aftermath of the attacks on Israel in Ashkelon,0.57
2024-01-08_1466.txt,2024-01,US officials renew calls for Israel to reduce civilian casualties in Gaza,0.75
2023-10-07_3308.txt,2023-10,Scenes from Hamas’s morning rocket attack on Israel,0.6
2023-10-21_2954.txt,2023-10,"Atop a Jerusalem mountain, a cafe of rare coexistence in a divided city",0.92
2024-01-18_1359.txt,2024-01,"Aid for Israeli captives, Palestinians reaches Gaza despite challenges",0.67
2023-10-13_3143.txt,2023-10,"After outcry over Ukraine, big business muted on Israel-Hamas war",0.68
2023-10-30_2728.txt,2023-10,‘Many players have died’: Israel’s war on Gaza hits Palestinian football,0.77
2024-01-11_1436.txt,2024-01,Day one of the ICJ genocide hearing against Israel: Key takeaways,0.72
2024-01-14_1403.txt,2024-01,"Portuguese FM: Ukraine can prevail, Russia a ‘Paper Tiger’",1.0
2023-10-13_3150.txt,2023-10,"Israel is losing its value as an ally for the West, Arab states",0.75
2023-10-16_3108.txt,2023-10,Analysis: Why is so much anti-Palestinian disinformation coming from India?,0.69
2023-10-10_3253.txt,2023-10,"Israel and Hamas war: List of key events, day 4 after surprise attack",1.0
2024-01-22_1306.txt,2024-01,US demands ‘urgent’ Israeli probe into Palestinian-American child’s death,0.7
2024-01-26_1273.txt,2024-01,Has Israel realised that it can’t ‘eradicate’ Hamas?,0.6
2024-01-06_1482.txt,2024-01,"Thousands protest in Israel demanding captive release, government to resign",0.88
2023-10-13_3153.txt,2023-10,Celtic fans pledge ‘unequivocal support’ for Palestine despite backlash,0.88
2023-10-30_2737.txt,2023-10,‘I’ve lost contact’: Surviving Israeli bombs amid communications blackout,0.59
2024-01-09_1459.txt,2024-01,British FM ‘worried’ Israel may have breached international law in Gaza,0.56
2023-10-13_3147.txt,2023-10,Analysis: Israel’s Gaza invasion could test its occupation of the West Bank,0.65
2023-10-09_3285.txt,2023-10,"Israel-Hamas war updates: Gaza under ‘total blockade’, refugee camp hit",1.0
2023-10-26_2840.txt,2023-10,How the US has used its veto power at the UN in support of Israel,0.73
2024-01-14_1405.txt,2024-01,"Israel’s war on Gaza: List of key events, day 100",1.0
2024-01-08_1468.txt,2024-01,How a parkour group in Gaza turns war ruins into sporting arenas,0.91
2023-10-14_3126.txt,2023-10,The crucial context of Israel’s war on Gaza,1.0
2024-01-25_1285.txt,2024-01,‘Medicine in Gaza’: A doctor’s guide to treating Gaza’s sick and wounded,0.72
2023-10-28_2780.txt,2023-10,Gaza’s journalists: Reporting under Israeli bombardment,1.0
2024-01-15_1395.txt,2024-01,Palestine to Africa: How maps lie — and some tell the truth,0.96
2023-10-29_2753.txt,2023-10,Palestine Red Crescent says Israel orders evacuation of al-Quds Hospital,0.83
2024-01-06_1491.txt,2024-01,Why is Lebanon home to so many Palestinian refugees and leaders?,0.82
2024-01-16_1376.txt,2024-01,US claims seizure of Iranian weapons bound for Yemen’s Houthis,0.75
2023-10-27_2816.txt,2023-10,"Israeli air strikes kill dozens in Gaza overnight, Palestinian sources say",0.86
2024-01-30_1224.txt,2024-01,Hamas studying three-phase Gaza truce plan as Israeli hardliners warn PM,0.85
2023-10-02_3317.txt,2023-10,"As Arab-Israeli normalisation expands, where do Palestinians fit?",1.08
2023-10-31_2695.txt,2023-10,Is the trajectory of Lebanon-Israel border conflict changing?,0.59
2023-10-13_3159.txt,2023-10,Palestinians pack ’emergency’ bags as Israeli bombs rain down on Gaza,0.62
2024-01-02_1524.txt,2024-01,What does a ‘new phase’ in Israel’s war on Gaza entail?,0.86
2024-01-13_1415.txt,2024-01,Shot in ‘cold blood’: Killing of Palestinian grandmother sparks outcry,0.63
2024-01-16_1381.txt,2024-01,Palestinian village fears Israel wartime demolitions,0.7
2024-01-17_1370.txt,2024-01,"Israel’s war on Gaza: List of key events, day 103",1.0
2023-10-24_2876.txt,2023-10,UN chief says ‘clear violations of international humanitarian law’ in Gaza,0.41
2023-10-29_2743.txt,2023-10,"Biden discusses ‘accelerating’ aid to Gaza in calls with Netanyahu, el-Sisi",0.59
2024-01-14_1402.txt,2024-01,Iran vs Palestine 4-1: AFC Asian Cup 2023 – as it happened,1.33
2023-10-10_3259.txt,2023-10,"What we know: The number of foreigners killed, missing, abducted in Israel",0.58
2023-10-04_3315.txt,2023-10,Israeli settlers storm Al-Aqsa Mosque complex on fifth day of Sukkot,0.87
2023-10-26_2841.txt,2023-10,Israel stages large overnight ground raid into Gaza Strip,0.67
2024-01-03_1512.txt,2024-01,Hezbollah chief says group won’t ‘be silent’ after killing of Hamas leader,0.96
2024-01-18_1358.txt,2024-01,Maghazi residents left reeling after Israeli forces withdraw,0.62
2023-10-16_3100.txt,2023-10,"Hamas warns of environmental crisis as 1,000 bodies still under Gaza rubble",0.57
2023-10-18_3043.txt,2023-10,What can Biden’s Israel visit accomplish after Gaza hospital bombing?,0.55
2023-10-14_3136.txt,2023-10,Israel-Gaza war: Why is Africa divided on supporting Palestine?,0.93
2023-10-12_3200.txt,2023-10,Photos show scale of the destruction of Israel air attacks on Gaza,0.33
2024-01-15_1389.txt,2024-01,"This past week, we all became South Africans",0.57
2023-10-18_3025.txt,2023-10,‘No work back home’: Lebanon’s foreign domestic workers fear Israel war,0.75
2023-10-19_2986.txt,2023-10,"Palestinian teacher determined to stay in Gaza, whatever the cost",0.88
2024-01-11_1437.txt,2024-01,"Blinken says path to a Palestinian state can stabilise region, isolate Iran",0.71
2023-10-13_3161.txt,2023-10,What Gaza infrastructure has been damaged since Israel declared war?,0.75
2023-10-18_3023.txt,2023-10,Could a warning by the ICC deter war crimes in Israel-Gaza conflict?,0.82
2024-01-15_1392.txt,2024-01,"‘Baba, this isn’t camping’: On being displaced by Israel’s war on Gaza",0.71
2023-10-30_2722.txt,2023-10,Analysis: The foreign factors in Israel’s war on Gaza,0.77
2023-10-23_2902.txt,2023-10,Western feminism and its blind spots in the Middle East,0.61
2024-01-06_1488.txt,2024-01,Hezbollah fires rockets at Israel in ‘response’ to Hamas leader’s killing,0.88
2024-01-12_1420.txt,2024-01,Israel rejects accusations of genocide in Gaza war at ICJ hearing,0.44
2023-10-19_2992.txt,2023-10,My struggle as a ‘displaced’ Gaza mother as Israel bombs my people,0.72
2024-01-12_1417.txt,2024-01,‘Dangerous’: US attacks on Yemen’s Houthis belie push for de-escalation,0.67
2023-10-27_2810.txt,2023-10,"Israel-Hamas war: List of key events, day 21",1.0
2023-10-31_2683.txt,2023-10,Has Israel achieved its objectives by launching wars on Gaza?,0.83
2024-01-11_1438.txt,2024-01,ICJ hears South Africa’s genocide case against Israel over Gaza war,0.8
2023-10-22_2922.txt,2023-10,Second aid convoy enters Gaza as Israel steps up bombardments,0.58
2023-10-31_2705.txt,2023-10,"Japan sanctions individuals, company over links to Hamas",0.85
2023-10-29_2755.txt,2023-10,‘It’s scary’: Israel war fears batter Lebanon’s struggling economy,0.73
2023-10-11_3221.txt,2023-10,Israel-Gaza: Collective punishment of millions not justified – Humza Yousaf,0.63
2023-10-22_2918.txt,2023-10,Will Hezbollah launch an all-out war on Israel?,0.8
2024-01-16_1377.txt,2024-01,Strike threat over claim pro-Israeli lobby forced out Australian journalist,0.74
2023-10-25_2848.txt,2023-10,Analysis: Why hasn’t Israel launched a ground invasion of Gaza yet?,0.63
2023-10-13_3174.txt,2023-10,Israel-Hamas updates: Thousands flee as Israel starts ground raids in Gaza,1.0
2024-01-01_1535.txt,2024-01,Iran deploys warship to Red Sea amid soaring tensions,0.91
2023-10-09_3264.txt,2023-10,Hezbollah fires on Israel after several members killed in shelling,0.72
2024-01-19_1352.txt,2024-01,US says ‘not at war’ with Houthis; Biden admits strikes not halting attacks,0.73
2023-10-13_3145.txt,2023-10,At least 16 Palestinians killed by Israeli forces in the West Bank,0.67
2023-10-31_2703.txt,2023-10,"Israel-Hamas war: List of key events, day 25",1.0
2024-01-21_1327.txt,2024-01,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,0.46
2023-10-10_3248.txt,2023-10,What to know about the deadly Hamas attack on an Israeli music festival,0.67
2024-01-09_1458.txt,2024-01,Q&A: Former Biden appointee says US policy is ‘dehumanising’ Palestinians,0.78
2024-01-23_1303.txt,2024-01,Israel reportedly pushing deal to release captives without ending war,0.75
2024-01-28_1242.txt,2024-01,UK says it thwarted Houthis’ drone attack in the Red Sea,0.88
2024-01-25_1284.txt,2024-01,"Israel’s war on Gaza: List of key events, day 111",1.0
2024-01-17_1365.txt,2024-01,Trauma replaces joy for mothers giving birth during Israel’s war on Gaza,0.77
